matricula,modelo,fabricante,fechaMatriculacion,numeroPlazas/4x4
QGD6171,Aerostar,SC,2011/03/26,5
FYX4785,Eclipse,Camaro,2019/12/15,7
ENG0675,XK Series,Navigator,2009/05/03,7
PIW2877,W126,9-3,2004/02/29,6
SJK2955,Challenger,Corolla,2005/05/13,7
YSF8144,Maxima,Sentra,2001/05/22,5
ZXI7868,Rodeo,Sierra 3500,2013/06/19,6
LDJ7329,Allroad,V50,2005/10/30,6
VGW3816,Golf,Ridgeline,2007/05/01,7
HKD5625,Spectra,DeVille,2019/05/11,5
BXC4783,Viper,Rainier,2009/01/17,7
FDM1327,Silverado 3500,Arnage,2010/01/01,7
UXQ3308,Fiero,GranTurismo,2020/03/06,true
SCB6591,Murano,Tacoma,2011/02/21,5
KTM0135,Ram 1500 Club,Navigator,2019/10/23,8
VDN4337,Seville,Freestar,2004/08/24,8
PYT3166,Escape,Camaro,2012/01/04,8
CXN0098,Azera,M3,2019/06/28,5
VTF6372,Quattro,500SEL,2015/04/25,true
ETS1820,Envoy,GS,2016/07/03,8
CTZ9523,GS,MKZ,2010/05/21,6
SPK5895,Silhouette,F150,2015/12/18,7
MGO0754,Continental Flying Spur,F-Series,2004/04/13,7
MOU4207,7 Series,Corvair 500,2007/01/23,5
YGB2719,Passat,Navigator,2015/07/15,8
TXP6075,Outlander,Sierra 1500,2010/10/01,5
WGC4555,Excel,M-Class,2017/09/21,6
FUA2026,Mountaineer,Endeavor,2018/03/19,6
QKG5933,G-Class,Sebring,2002/06/03,7
HCQ3941,Eurovan,Savana 3500,2016/11/19,false
ZMH3983,5000CS Quattro,Prelude,2004/06/29,8
SWQ9973,Yukon XL 1500,TSX,2007/08/22,5
VTK7502,V40,Truck,2016/08/07,8
IYJ4917,Forenza,G35,2011/01/08,5
WUG3080,M-Class,Caravan,2000/08/05,false
LTM7439,C-Class,Storm,2013/10/21,8
HKN6773,7 Series,Express 3500,2009/02/03,5
YPS3689,Express 2500,Blazer,2010/09/22,5
QRP4746,Jimmy,Tundra,2018/02/07,7
VQK0466,2500,Stratus,2013/08/02,7
EVJ2341,Range Rover Sport,X5,2018/07/16,6
IDT7752,A6,F150,2000/11/08,5
ECH0634,Esprit,Sorento,2010/03/09,8
XIK7174,929,Discovery,2005/11/30,7
FPE6686,Eclipse,CR-V,2010/05/18,7
NVB2481,90,RDX,2006/02/07,7
QEX4012,RX Hybrid,Galant,2008/07/02,7
NFD8915,G-Class,Range Rover,2011/08/07,6
ZBF1852,4Runner,MX-6,2018/08/15,7
LFO0262,Frontier,Armada,2011/02/10,5
YQF7873,Ram Van 3500,Tahoe,2006/10/10,5
AIR0742,Escalade,Sunfire,2015/04/23,8
TVL7395,Murano,W201,2009/02/04,6
TZY8843,Exige,Topaz,2004/10/06,7
VHG7480,Esprit,200,2009/07/01,6
WFX4537,Navigator L,2500 Club Coupe,2006/01/10,8
WNV6377,GTO,RL,2003/01/28,5
SWY9252,RAV4,Century,2004/08/19,true
TOZ5573,Fleetwood,Acadia,2020/04/15,6
EIR3368,Grand Marquis,SJ,2006/09/20,5
HFU1944,CC,Cayenne,2008/11/26,8
BXY2661,Impreza,Corvette,2006/06/09,6
EBJ3176,1500 Club Coupe,Vigor,2017/07/05,5
JUK7582,SC,Sentra,2010/04/24,8
WZL1335,Chariot,Precis,2004/11/30,7
DKP5365,Explorer Sport Trac,Golf,2018/10/22,8
PBO3061,CLK-Class,944,2010/03/09,6
BLU1987,Ram 2500,Trans Sport,2014/07/30,6
LVP0919,Alcyone SVX,Explorer Sport,2003/03/05,5
HPW9858,Odyssey,Sentra,2018/11/23,6
ZIS1633,Navigator,Ridgeline,2016/07/04,7
STG2460,Xterra,Silverado,2015/09/28,5
MKE3799,B2600,Torino,2018/03/28,8
KFO0483,Suburban 2500,Acadia,2007/10/14,8
LHB5154,Expedition,Precis,2014/03/06,7
XON5175,Accent,MR2,2014/07/08,8
SUR9678,Miata MX-5,Escalade EXT,2006/03/14,false
KMJ9411,XJ Series,Suburban 1500,2001/12/04,8
UVY8153,Mustang,IS-F,2013/04/01,7
BWT5064,Bronco,Blazer,2010/10/08,6
LTG3294,Insight,Corvette,2010/03/03,7
BHM9883,Suburban 1500,Express 3500,2006/08/28,7
SNW2006,X-90,57S,2020/02/21,7
OTJ7310,LX,2500,2004/05/16,5
DGX5850,LeSabre,Explorer,2005/08/14,6
ISQ6015,Century,Continental,2002/05/08,8
LEF2593,XK Series,Continental GTC,2018/07/25,7
DOM9269,Montego,SL-Class,2001/04/14,6
BKT5348,X5 M,1 Series,2007/09/13,6
UHN1623,Miata MX-5,Sunfire,2011/04/03,8
HNV4050,ZDX,Baja,2015/11/21,7
TFM3156,Miata MX-5,Impreza,2004/04/03,7
BFR4519,Bonneville,Savana 3500,2013/10/05,6
SVT7296,Tercel,Tahoe,2010/09/17,8
BEN5331,Club Wagon,MR2,2001/11/04,8
YPJ7812,Town & Country,Millenia,2002/05/31,5
NLD3891,SL-Class,Ranger,2015/06/22,6
SPI3898,Taurus,Celica,2009/01/26,5
NY3696,Quattroporte,Montero Sport,2019/05/10,true
PY9111,Windstar,RX Hybrid,2010/12/23,6
